"Basel Annex VIII, II or IX ",Y Code,National Code,"
Type of waste ","
Hazardous characteristics","Amount exported 
 (use dots for decimals, e.g. 20.15)","
Countries of  transit",Country of destination,"
Final disposal operation",Recovery operation,Exporting_Country
A1080,Y31," 20 01 35*, 16 02 13*,16 02 15*",Waste Cathode Ray Tube (CRT) Monitors ,"H11,H12",650.0,"CY,IT,LB,MT,SI,ES,TR",GR,,R12,Egypt
A1080,Y31," 20 01 35*, 16 02 13*,16 02 15*",Waste Cathode Ray Tube (CRT) Monitors ,"H11,H12",800.0,"CY,IT,LB,MT,TR",GR,,R12,Egypt
A1080,Y31," 20 01 35*, 16 02 13*,16 02 15*",Waste Cathode Ray Tube (CRT) Monitors,"H11,H12",100.0,"CY,IT,LB,MT,ES,SY,TR",GR,,R12,Egypt
A1030,Y29,20 01 21*,Waste containing mercury,,22.99,,FI,D9,"R4,R5,R12",Estonia
A1180,Y45,20 01 23*,Cooling appliances,,347.376,LV,LT,,"R4,R5",Estonia
A3020,Y8,13 02 08*,Waste oil,,352.0,,FI,,R9,Estonia
A4020,Y1,18 01 03*,Clinical waste,,270.09,,LV,,R12,Estonia
A4070,Y12,"08 01 11*, 08 03 12*",Waste paint ,,163.0,,SE,,R12,Estonia
A4130,,"15 01 10*, 15 02 02*",waste containing hazardous substances,,207.716,,SE,,R1,Estonia
,,19 01 07*,Solid waste from gas treatment,H12,8030.3,,FI,"D9,D1",,Estonia
Y46,,19 12 10,RDF,,4847.1,,LV,,R1,Estonia
Y46,,19 12 12,RDF,,36.72,,LV,,R12,Estonia
A4010,Y3, 20 01 32,"Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B",H12,132.34,,DE,D10,,Finland
A4010,Y3," 18 01 09, 20 01 32","Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B",H6.1,68.24,,SE,D10,,Finland
,Y5, 19 12 06*,Treated cork and wood wastes,H12,39964.75,,DE,,R1,Finland
,Y5, 17 02 04*,Treated cork and wood wastes,H12,4711.01,,SE,D10,,Finland
A2030,Y6, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H3,27.719,,DE,,R4,Finland
A2030,Y6, 16 08 02*,Waste catalysts but excluding such wastes specified on list B,"H4.2,H11,H12",375.926,,DE,,R4,Finland
A3020,Y8, 19 02 08*,Waste mineral oils unfit for their originally intended use,"H3,H12",2621.62,,EE,,R1,Finland
A4070,Y12, 19 12 11*,"Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010)",H3,275.46,,DE,D10,,Finland
A4070,Y12, 20 01 27*,"Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010)",H3,414.18,,DE,,R1,Finland
A4070,Y12," 08 01 11*, 20 01 27*","Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010)","H3,H4.1",323.39,SE,NO,,"R1,R12",Finland
A4070,Y12," 08 01 11*, 08 03 14*, 08 03 17*, 08 04 09*, 20 01 27*","Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010)",H4.1,283.06,,DE,D10,,Finland
A4070,Y12," 08 01 11*, 08 03 14*, 08 03 17*, 08 04 09*, 20 01 27*","Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010)",H4.1,518.32,,DE,,R1,Finland
A4080,Y15, 16 04 03*,Wastes of an explosive nature (but excluding such wastes specified on list B),"H1,H5.1",187.1,,SE,D10,,Finland
A1050,Y17, 11 01 09*,Galvanic sludges,"H11,H12",70.24,,DE,,R4,Finland
A1050,Y17," 11 01 09*, 11 01 10",Galvanic sludges,H12,46.124,,DE,,R4,Finland
,Y18, 16 01 07*,"Oil filters, used",H12,144.0,DE,DK,,R12,Finland
A4160,Y18, 07 04 09*,"Spent activated carbon not included on list B (note the related entry on list B, B2060)",H13,153.38,,BE,,R7,Finland
,Y18," 13 05 01*, 13 05 02*, 15 01 10*, 15 02 02*, 20 01 26*","Oil waste, solid","H4.1,H12",30.06,,SE,D10,,Finland
,Y18, 13 08 99*,"Oil waste, solid","H4.1,H12",24.34,,SE,D10,,Finland
A1070,Y18, 06 04 05*,"Leaching residues from zinc processing, dust and sludges such as jarosite, hematite, etc.",H6.1,8.0,,SE,,R12,Finland
,Y21, 16 07 08*,"Dross, scalings and other wastes from the iron and steel industry","H11,H12",430.77,,SE,,R4,Finland
A1020,Y22," 10 06 01, 10 06 02, 10 06 04, 10 06 99","Waste having as constituents or contaminants, excluding metal waste in massive form, any of the following: Antimony; antimony compounds, Beryllium; beryllium compounds, Cadmium; cadmium compounds, Lead; lead compounds, Selenium; selenium compounds,Tellurium, tellurium compounds",H11,129.72,NL,BE,,R4,Finland
A4100,Y23, 10 02 07*,Wastes from industrial pollution control devices for cleaning of industrial off-gases but excluding such wastes specified on list B,"H11,H12",21395.15,"SE,NL,BE",FR,,R4,Finland
A4100,Y23, 10 02 07*,Wastes from industrial pollution control devices for cleaning of industrial off-gases but excluding such wastes specified on list B,"H11,H12",2579.924,,PL,,R4,Finland
A4100,Y23, 10 02 07*,Wastes from industrial pollution control devices for cleaning of industrial off-gases but excluding such wastes specified on list B,"H11,H12",19637.33,,SE,,R4,Finland
A1170,Y23, 19 12 11*,Unsorted waste batteries excluding mixtures of only list B batteries.  Waste batteries not specified on list B containing Annex I constituents to an extent to render them hazardous.,"H6.1,H8,H12",1326.2,,PL,,R4,Finland
A1170,Y26, 16 06 02*,Unsorted waste batteries excluding mixtures of only list B batteries.  Waste batteries not specified on list B containing Annex I constituents to an extent to render them hazardous.,"H8,H11,H12",27.0,,SE,,R4,Finland
A1170,Y26, 16 06 02*,Unsorted waste batteries excluding mixtures of only list B batteries.  Waste batteries not specified on list B containing Annex I constituents to an extent to render them hazardous.,"H8,H11,H12",41.71,DE,US,,R4,Finland
A1030,Y29, 18 01 10*,"Wastes having as constituents or contaminants any of the following: Arsenic; arsenic compounds, Mercury; mercury compounds., Thallium; thallium compounds",H12,0.488,,DE,,R4,Finland
A1180,Y29," 20 01 35*, 20 01 36","Waste electrical and electronic assemblies or scrap containing components such as accumulators and other batteries included on list A, mercury-switches, glass from cathode-ray tubes and other activated glass and PCBcapacitors, or contaminated with Annex I constituents (e.g., cadmium, mercury, lead, polychlorinated biphenyl) to an extent that they possess any of the characteristics contained in Annex III (note the related entry on list B, B1110)",H12,483.1,,EE,,R12,Finland
A1030,Y29, 06 07 02*,"Wastes having as constituents or contaminants any of the following: Arsenic; arsenic compounds, Mercury; mercury compounds., Thallium; thallium compounds","H6.1,H11,H12",25.18,,DE,D12,,Finland
A1030,Y29, 17 09 01*,"Wastes having as constituents or contaminants any of the following: Arsenic; arsenic compounds, Mercury; mercury compounds., Thallium; thallium compounds","H6.1,H11,H12",361.2,,DE,D12,,Finland
A1030,Y29, 17 09 03*,"Wastes having as constituents or contaminants any of the following: Arsenic; arsenic compounds, Mercury; mercury compounds., Thallium; thallium compounds","H6.1,H11,H12",578.7,,DE,D12,,Finland
A1030,Y29, 18 01 10*,"Wastes having as constituents or contaminants any of the following: Arsenic; arsenic compounds, Mercury; mercury compounds., Thallium; thallium compounds","H6.1,H12",0.873,DE,AT,,R4,Finland
A1010,Y29, 16 03 07*,"Metal wastes and waste consisting of alloys of any of the following: Antimony, Arsenic, Beryllium, Cadmium, Lead, Mercury, Selenium, Tellurium, Thallium, but excluding such wastes specifically listed on list B.","H6.1,H8,H12",91.071,,DE,"D12,D9",,Finland
A1030,Y29, 20 01 21*,"Wastes having as constituents or contaminants any of the following: Arsenic; arsenic compounds, Mercury; mercury compounds., Thallium; thallium compounds",H8,3.963,,DE,,R12,Finland
A1020,Y31, 19 12 11*,"Waste having as constituents or contaminants, excluding metal waste in massive form, any of the following: Antimony; antimony compounds, Beryllium; beryllium compounds, Cadmium; cadmium compounds, Lead; lead compounds, Selenium; selenium compounds,Tellurium, tellurium compounds","H11,H12",3362.0,"DE,GR",IL,,R4,Finland
A1020,Y31, 19 12 11*,"Waste having as constituents or contaminants, excluding metal waste in massive form, any of the following: Antimony; antimony compounds, Beryllium; beryllium compounds, Cadmium; cadmium compounds, Lead; lead compounds, Selenium; selenium compounds,Tellurium, tellurium compounds","H11,H12",2290.0,"GR,DE",IL,,R4,Finland
A1020,Y31, 19 12 11*,"Waste having as constituents or contaminants, excluding metal waste in massive form, any of the following: Antimony; antimony compounds, Beryllium; beryllium compounds, Cadmium; cadmium compounds, Lead; lead compounds, Selenium; selenium compounds,Tellurium, tellurium compounds",H12,45.16,NL,BE,,R4,Finland
A1020,Y31, 10 04 02*,"Waste having as constituents or contaminants, excluding metal waste in massive form, any of the following: Antimony; antimony compounds, Beryllium; beryllium compounds, Cadmium; cadmium compounds, Lead; lead compounds, Selenium; selenium compounds,Tellurium, tellurium compounds","H6.1,H11,H12",79.46,,SE,,R4,Finland
A1160,Y31, 16 06 01*,"Waste lead-acid batteries, whole or crushed","H6.1,H8,H11,H12",7161.181,,EE,,R4,Finland
A1160,Y31, 16 06 01*,"Waste lead-acid batteries, whole or crushed","H6.1,H8,H11,H12",25.218,"EE,LV",LT,,R12,Finland
A1160,Y31, 16 06 01*,"Waste lead-acid batteries, whole or crushed","H6.1,H8,H11,H12",5085.349,,SE,,R4,Finland
A1180,Y31, 16 02 13*,"Waste electrical and electronic assemblies or scrap containing components such as accumulators and other batteries included on list A, mercury-switches, glass from cathode-ray tubes and other activated glass and PCBcapacitors, or contaminated with Annex I constituents (e.g., cadmium, mercury, lead, polychlorinated biphenyl) to an extent that they possess any of the characteristics contained in Annex III (note the related entry on list B, B1110)",H12,19.2,,DE,,R4,Finland
A4090,"Y31,Y34", 16 06 06*,"Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120)","H6.1,H8,H11,H12",287.92,,SE,D9,,Finland
A4090,Y34, 11 01 05*,"Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120)",H8,81.18,,SE,D9,,Finland
A4140,Y35, 16 05 07*,Waste consisting of or containing off-specification or out-dated chemicals corresponding to Annex I categories and exhibiting Annex III hazard characteristics,"H3,H8,H12",0.85,,DK,,R5,Finland
A2030,Y42, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H12,3.0,BE,GB,,R8,Finland
A3140,Y42, 07 07 04*,Waste non-halogenated organic solvents but excluding such wastes specified on list B,"H3,H6.1,H11",1067.3,,BE,,R2,Finland
A1180,Y45, 20 01 23*,"Waste electrical and electronic assemblies or scrap containing components such as accumulators and other batteries included on list A, mercury-switches, glass from cathode-ray tubes and other activated glass and PCBcapacitors, or contaminated with Annex I constituents (e.g., cadmium, mercury, lead, polychlorinated biphenyl) to an extent that they possess any of the characteristics contained in Annex III (note the related entry on list B, B1110)",H12,286.76,,SE,,R12,Finland
A1180,Y45, 20 01 23*,"Waste electrical and electronic assemblies or scrap containing components such as accumulators and other batteries included on list A, mercury-switches, glass from cathode-ray tubes and other activated glass and PCBcapacitors, or contaminated with Annex I constituents (e.g., cadmium, mercury, lead, polychlorinated biphenyl) to an extent that they possess any of the characteristics contained in Annex III (note the related entry on list B, B1110)",H12,6364.439,,SE,,"R3,R4",Finland
,," 10 02 10, 12 01 02","Dross, scalings and other wastes from the iron and steel industry",H11,2158.9,,IS,,R4,Finland
,," 10 02 10, 12 01 02","Dross, scalings and other wastes from the iron and steel industry",H11,2997.7,SE,IS,,R4,Finland
,," 10 02 10, 12 01 02","Dross, scalings and other wastes from the iron and steel industry",H11,2500.8,,SE,,R4,Finland
,, 10 02 11*,"Dross, scalings and other wastes from the iron and steel industry","H11,H12",2838.16,"SE,NL,BE",FR,,R4,Finland
,," 10 02 10, 10 02 11*, 12 01 02","Dross, scalings and other wastes from the iron and steel industry","H11,H12",283.72,,SE,,R4,Finland
,," 10 02 10, 10 02 11*, 12 01 02, 12 01 99","Dross, scalings and other wastes from the iron and steel industry","H11,H12",1607.18,,SE,,R4,Finland
,, 10 02 11*,"Dross, scalings and other wastes from the iron and steel industry","H11,H12",1143.9,,SE,,R4,Finland
,, 12 01 02,"Dross, scalings and other wastes from the iron and steel industry","H11,H12",850.48,,SE,,R4,Finland
A2030,, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H12,2.006,,DE,,R4,Finland
A1180,," 20 01 35*, 20 01 36","Waste electrical and electronic assemblies or scrap containing components such as accumulators and other batteries included on list A, mercury-switches, glass from cathode-ray tubes and other activated glass and PCBcapacitors, or contaminated with Annex I constituents (e.g., cadmium, mercury, lead, polychlorinated biphenyl) to an extent that they possess any of the characteristics contained in Annex III (note the related entry on list B, B1110)",H4.2,0.1,,EE,,R12,Finland
A2030,, 16 08 02*,Waste catalysts but excluding such wastes specified on list B,"H4.2,H11,H12",87.44,DE,BE,,R8,Finland
A2030,, 16 08 02*,Waste catalysts but excluding such wastes specified on list B,"H4.2,H11,H12",839.323,"DE,BE",NL,,R8,Finland
,, 10 03 08*,Aluminium slag,H4.3,4820.57,,DE,,"R4,R5",Finland
,, 10 03 15*,Unclassified;  Aluminium skimmings,H4.3,341.0,,DE,,R4,Finland
,," 10 02 02, 12 01 02","Dross, scalings and other wastes from the iron and steel industry","H6.1,H11",411.346,,SE,,R4,Finland
A2030,, 16 08 02*,Waste catalysts but excluding such wastes specified on list B,"H6.1,H11,H12",4118.38,DE,AT,,R8,Finland
A2030,, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,"H4.1,H12",1.731,,DE,,R4,Finland
,, 15 01 02,"Unclassified. Plastic packaging, Y46",H_,4957.73,,DE,,"R12,R3",Finland
,, 20 03 01,"Domestic waste, Y46",H_,20673.81,,EE,,R1,Finland
,, 20 03 01,"Domestic waste, Y46",H_,30994.722,,SE,,R1,Finland
,, 15 01 02,"Unclassified, plastic packaging, Y46",H_,3013.83,,SE,,R3,Finland
,, 15 01 02,"Unclassified, plastic packaging waste from households, Y46",H_,21.4,,SE,,R3,Finland
,, 19 10 02,NFR non-ferrous metal fraction from shredder operation,H_,159.14,,DE,,R4,Finland
,, 19 10 06,"Unclassified,polystyrene fraction from shredding of cooling appliances",H_,205.78,,DE,,"R3,R4",Finland
,, 19 10 06,Unclassified; polystyrene fraction from shredding of cooling appliances,H_,19.58,,DE,,"R3,R4",Finland
,, 19 12 03,"Unclassified, non-ferrous metal concentrate",H_,118.4,SE,DK,,R12,Finland
,, 17 09 04,Construction and demolition waste,H_,28245.106,,EE,,R12,Finland
,, 17 09 04,Construction and demolition waste,H_,2620.88,,EE,,"R12,R5",Finland
,, 20 03 01,Mixed municipal waste from commercial origin,H_,12266.02,,EE,,R1,Finland
,, 19 12 10,RDF Refuse derived fuel,H_,5818.25,,EE,,R1,Finland
,, 06 08 99,"Unclassified, exhausted slicing slurry",H_,213.54,"NL,DE,CH",IT,,R5,Finland
,, 16 02 16,"Unclassified, mixed wee plastics",H_,359.58,"EE,LV",LT,,R12,Finland
A1180,, 16 02 13*,"Waste electrical and electronic assemblies or scrap containing components such as accumulators and other batteries included on list A, mercury-switches, glass from cathode-ray tubes and other activated glass and PCBcapacitors, or contaminated with Annex I constituents (e.g., cadmium, mercury, lead, polychlorinated biphenyl) to an extent that they possess any of the characteristics contained in Annex III (note the related entry on list B, B1110)",H_,38.251,"EE,LV",LT,,"R3,R4",Finland
,, 19 12 03,"Unclassified, non-ferrous metal concentrate",H_,142.58,,NL,,"R12,R4",Finland
,, 19 12 03,"Unclassified, non-ferrous metal concentrate",H_,1167.4,,NL,,R4,Finland
,, 19 12 03,"Unclassified, non-ferrous metal concentrate",H_,481.16,BE,NL,,"R4,R5",Finland
,, 19 12 03,"Unclassified, non-ferrous metal concentrate",H_,1402.01,DE,NL,,"R12,R4",Finland
,, 19 12 03,"Unclassified, non-ferrous metal concentrate extracted from MSWI slags",H_,292.88,,NL,,R4,Finland
,, 19 12 03,Unclassified; non-ferrous metal concentrate extracted from waste incineration slags,H_,146.14,,NL,,R4,Finland
,, 19 12 03,Unclassified; Non-ferrous metal concentrate from bottom ashes,H_,799.6,BE,NL,,"R12,R5",Finland
A1030,, 17 04 09*,"Wastes having as constituents or contaminants any of the following: Arsenic; arsenic compounds, Mercury; mercury compounds., Thallium; thallium compounds",H_,606.0,,NL,,R4,Finland
,, 19 10 04,Fluff - light fraction from shredding,H_,2859.05,,SE,,R1,Finland
,, 19 10 04,Fluff - light fraction from shredding,H_,3100.0,,SE,,"R1,R4",Finland
,," 19 12 10, 19 12 12, 20 03 01",Mixed municipal waste from commercial origin,H_,10159.59,,SE,,R1,Finland
,, 20 03 01,Mixed municipal waste from commercial origin,H_,21061.2,,SE,,R1,Finland
,, 19 10 02,NFR non-ferrous metal fraction from shredder operation,H_,17025.522,,SE,,"R1,R4",Finland
,, 19 12 10,RDF Refuse derived fuel,H_,15142.75,,SE,,R1,Finland
,," 19 12 10, 19 12 12",RDF Refuse derived fuel,H_,1838.5,,SE,,R1,Finland
,, 20 03 04,Sewage sludge,H_,201.3,,SE,,R3,Finland
,," 20 03 04, 20 03 06",Sewage sludge,H_,350.8,,SE,,R3,Finland
,, 20 01 38,Treated cork and wood wastes,H_,388.68,,SE,,R12,Finland
,, 20 03 07,"Unclassified - skrymmande blandavfall stoppade möbler, utemöbler, heltäckningsmattor",H_,19.44,,SE,,R12,Finland
,, 19 12 10,"Unclassified, burnable fractions from commercial origin",H_,194.88,,SE,,R1,Finland
,, 19 12 10,"Unclassified, crushed mixed waste from commercial origin",H_,1482.27,,SE,,R1,Finland
,, 19 12 12,"Unclassified, sorted construction waste",H_,1966.21,,SE,,R1,Finland
B4010,," 08 01 12, 20 01 28","Wastes consisting mainly of water-based/latex paints, inks and hardened varnishes not containing organic solvents, heavy metals or biocides to an extent to render them hazardous (note the related entry on list A, A4070)",H_,285.46,,SE,D10,,Finland
A4070,," 08 01 12, 20 01 28","Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010)",H_,329.79,,SE,D10,,Finland
A2030,,160807*,,,38.27,LV,LT,,R13,Georgia
A2030,,160807*,,,5.3,TR,LT,,R13,Georgia
A2030,,160807*,,,25.05,,IT,,R8,Georgia
A2030,,160807*,,,27.1,,JP,,R4,Georgia
,Y_,19 08 05,sludges from treatment of urban waste water (EWC 19 08 05),,3810.79,,CY,,R1,Greece
,Y_,19 08 05,sludges from treatment of urban waste water (EWC 19 08 05),,4510.31,,CY,,R1,Greece
,Y_,07 06 99,"off-specification and/or expired products (hair paints, face and bodycreams) (EWC 07 06 99)",,358.168,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
,Y3,20 01 32,expired medicines ( EWC 20 01 32) ,,135.646,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
,Y3,20 01 32,expired medicines ( EWC 20 01 32) ,,131.634,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
A1020,"Y18,Y31",19 12 11*,other wastes (including mixtures of materials) from mechanical treatment of waste containing hazardous substances - polyethylene separators (EWC 19 12 11*),H12,335.44,"BG,RO,HU,SK,CZ",DE,D10,,Greece
A1020,Y31,10 04 01*,lead slag from secondary treatment (EWC 10 04 01*),H12,1473.57,"TR,PT",ES,D9,,Greece
A1020,Y31,10 04 01*,lead slag from secondary treatment (EWC 10 04 01*),H12,1568.23,"TR,PT",ES,D9,,Greece
A1020,Y31,19 12 11*,other wastes (including mixtures of materials) from mechanical treatment of waste containing dangerous substances (EWC 19 12 11*),H12,114.52,"TR,PT",ES,D9,,Greece
A1020,Y31,19 12 11*,other wastes (including mixtures of materials) from mechanical treatment of waste containing dangerous substances (EWC 19 12 11*),H12,143.88,"TR,PT",ES,D9,,Greece
A1020,Y31,17 09 03*,"debris contaminated with lead, that occurred during cleanup works after a fire-insident (EWC 17 09 03*)",H11,58.44,"TR,IT,ES,PT,FR,BE,GB,NL",DE,"D13,D1",,Greece
A1020,Y31,10 04 05*,waste particulates and dust from lead thermal metallurgy (EWC 10 04 05*),H12,45.68,"TR,BE,IT,ES,GB,NL,FR",PT,D9,,Greece
A1030,Y29,20 01 21*,mercury vapour lamps & mercury lamps (EWC 20 01 21*),,131.01,BG,RO,,"R4,R5",Greece
A1040,Y17,06 01 06*,"chromic acids and chromic salts solutions (EWC 06 01 06*, 06 03 13*, 11 01 05*, 11 01 06*, 16 03 03*, 16 05 07*)",H8,15.64,"TR,PT,FR,GB,NL,IL,IT,ES,DE",BE,D9,,Greece
A1100,Y22,10 06 03*,copper smeltr bag filter dust (EWC 10 06 03*),,356.24,"TR,FR,IT",ES,D9,,Greece
A1170,"Y23,Y26,Y35",20 01 33*,mixted batteries & accumulators (EWC 20 01 33*),H12,19.875,BG,RO,,R4,Greece
A1170,"Y23,Y26,Y35",20 01 33*,mixted batteries & accumulators (EWC 20 01 33*),H12,63.299,BG,RO,,R4,Greece
A1180,Y31,19 12 11*,funnel lead glass (EWC 19 12 11*),H12,93.61,"BG,RO,HU,SK,CZ",DE,,R5,Greece
A1180,Y31,19 12 11*,funnel lead glass (EWC 19 12 11*),H12,492.32,"BG,RO,HU,SK,CZ",DE,,R5,Greece
A2030,Y9,16 08 02*,spent catalysts containing dangerous transition metals (17) or dangerous transition metal compounds (EWC 16 08 02*),H12,62.0,IT,FR,,R8,Greece
A2030,,"16 08 02*, 16 08 07*","spent catalysts containing hazardous transition metals or hazardous transition metal compounds & spent catalysts contaminated with hazardous substances (EWC 16 08 02*, 16 08 07*)",H4.2,1602.4,"GR,IT,AT,DE",FR,,"R8,R4",Greece
A2050,Y36,"17 06 01*, 17 06 05*","construction materials of asbestos cement & insulation materials containing asbestos (EWC 17 06 01*, 17 06 05*)",H11,97.37,"PT,GB,NL,BE",NO,D1,,Greece
A2050,Y36,17 06 05*,waste construction materials containing asbestos (EWC 17 06 05*) ,H11,42.88,IT,ES,D5,,Greece
A2050,Y36,"17 06 05*, 17 06 01*","waste construction and insulation materials containing asbestos (EWC 17 06 05*, EWC 17 06 01*) ",H11,156.228,"TR,GB,DE,NL,BE,ES,FR,IT,PT",NO,D1,,Greece
A2050,Y36,17 06 05*,waste construction materials containing asbestos (EWC 17 06 05*) ,H11,92.602,"TR,GB,DE,NL,BE,ES,FR,IT,PT",NO,D1,,Greece
A2050,Y36,"17 06 05*, 17 06 01*","waste construction and insulation materials containing asbestos (EWC 17 06 05*, EWC 17 06 01*) ",H11,170.406,"TR,GB,DE,NL,BE,ES,FR,IT,PT",NO,D1,,Greece
A2050,Y36,"17 06 01*, 17 06 05*","construction materials of asbestos cement, pvc tiles & insulation materials containing asbestos (friable asbestos) (EWC 17 06 01*, 17 06 05*)",H11,662.033,"TR,PT,GB,NL",NO,D1,,Greece
A2050,Y36,"17 06 05*, 17 06 01*","insulation and construction materials containig asbestos (EWC 17 06 01*, 17 06 05*)",,354.977,"PT,TR,IT,ES,NL,FR,GB",NO,D1,,Greece
A2050,Y36,17 06 05*,safety boxes (EWC 17 06 05*),H11,22.85,"PT,ES,IT,FR,GB,NL,BE",GB,D1,,Greece
A3020,Y8,13 05 08*,mixtures of wastes from grit chambers and oil/water separators,H12,248.32,BE,DE,,R12,Greece
A3050,"Y12,Y13","08 04 11*, 08 01 17*, 16 03 05*","mixture of paints, varnishes, glues, sealants with organic solvents (EWC 08 01 15*, 08 01 17*, 08 01 21*, 08 04 11*, 08 04 13*, 08 04 15*, 16 03 05*)","H3,H6.1,H12",24.77,"TR,PT,GB,BE,IT,IL,ES,FR,DE",NL,,"R12,R1",Greece
A3050,Y13,"08 04 09*, 08 04 09*, 08 04 11*, 08 04 13*, 08 04 15*, 08 04 17*","wastes from production, formulation and use of resins, latex, plasticizers, glues/adhesives (EWC 08 04 09*)","H3,H4.1,H8,H11,H12",41.272,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
A3140,Y6,"14 06 03*, 14 06 05*","waste sovlents and sludge containing sovlents (EWC 14 06 03*, 14 06 05*) ",H3,1.34,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
A3150,"Y17,Y6,Y41","04 01 03*, 07 01 03*, 07 01 04*, 07 02 03*, 07 03 03*, 07 04 03*, 07 05 03*, 07 06 03*, 07 07 03*, 14 06 02*, 14 06 04*","other halogenated solvents and solvent mixtures (EWC 07 01 03*, 14 06 02*)","H8,H6.1,H11,H12",20.962,"TR,IT,ES,PT,FR,NL,BE,GB",DE,,R2,Greece
A3150,Y6,"14 06 02*, 14 06 04*","waste sovlents and sludge (EWC 14 06 02*, 14 06 04*) ",H6.1,7.186,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
A3150,"Y6,Y41","14 06 02*, 14 06 04*, 04 01 03*","waste containing tetrachlorethylene and waste containing dichloromethane (EWC 14 06 02*, 14 06 04*, 04 01 03*)",H6.1,41.75,"TR,PT,FR,GB,NL",BE,,R2,Greece
A3180,Y10,"13 03 01*, 15 02 02*, 16 02 09*, 16 02 10*","transformers, capacitors, solid and liquid waste contaminated with PCBs (EWC 13 03 01*, 15 02 02*, 16 02 09*, 16 02 10*, 17 09 02*)",H12,45.09,"TR,EG,IL,IT,ES",FR,D10,,Greece
A3190,Y11,05 01 08*,"acidic and other tars (EWC 05 01 03*, 05 01 07*, 05 01 08*, 05 06 01*, 05 06 03*, 16 05 08*, 19 11 02*)",H11,245.118,"TR,BE,IT,ES,GB,NL,FR",PT,D9,,Greece
A4010,Y_,20 01 29*,"waste off specification, unused and/or expired/outdated detergents/chemicals and raw materials containing dangerous substances (EWC 20 01 29*)",H12,34.539,"BG,RO",HU,,R1,Greece
A4010,Y2,"07 05 13*, 16 05 06*, 16 03 05*, 16 05 08* ","solid wastes containing dangerous substances, laboratory chemicals, consisting of or containing dangerous substances, including mixtures of laboratory chemicals, organic wastes containing dangerous substances & discarded organic chemicals consisting of or containing dangerous substances (07 05 13*, 16 05 06*, 16 03 05*, 16 05 08*)","H3,H4.1,H5.1,H6.1,H8,H11,H12",39.985,"GR,IT,PT,ES,GB,FR,DE,NL,BE",DK,D10,,Greece
A4010,"Y2,Y3",16 03 05*,off specification and/or out of date or expired products/medicines/raw materials from pharmaceutical industries (EWC 16 03 05*),H12,95.325,"BG,RO",HU,,R1,Greece
A4010,"Y2,Y3",16 03 05*,off specification and/or out of date or expired products/medicines/raw materials from pharmaceutical industries (EWC 16 03 05*),H12,63.33,"BG,RO",HU,,R1,Greece
A4010,"Y2,Y3","07 05 13*, 16 03 05*, 20 01 31*",off specifications & expired pharmaceutical products & other pharmaceutical waste (EWC 16 03 05*) ,H12,9.805,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
A4010,"Y2,Y3","08 01 08*, 16 03 05*, 18 01 06*, 18 01 09*","out of specifications or expired pharmaceuticals (EWC 07 05 13*, 18 01 08*, 18 01 08*, 16 03 05*, 20 01 31*, 20 01 32)",H6.1,14.53,"TR,PT,FR,GB,NL",BE,D10,,Greece
A4010,"Y2,Y3","16 03 05*, 18 01 06*, 18 01 08*","out of specifications or expired pharmaceuticals (EWC 07 05 13*, 16 03 03*, 16 03 05*, 18 01 06*, 18 01 08*, 20 01 31*, 20 01 32*)",H12,110.394,"TR,PT,ES,FR,GB,DE,NL,BE,LT,SE,LV,IT",DK,D10,,Greece
